,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
71,2020-04-02,858.9661591066794,27452.358664303818,30250.693152728894,858.9661591066794,858.9661591066794,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,28780.987662452335
72,2020-04-03,877.1981588478112,27888.495789174318,30775.745807693544,877.1981588478112,877.1981588478112,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,29391.8789694592
73,2020-04-04,895.4301585889433,28530.036341450425,31412.50353199072,895.4301585889433,895.4301585889433,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,30002.77027646608
74,2020-04-05,913.6621583300756,29201.78194030177,32071.679642125775,913.6621583300756,913.6621583300756,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,30613.661583472964
75,2020-04-06,931.8941590406203,29890.669259848484,32559.61329758527,931.8941590406203,931.8941590406203,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,31224.552922961506
76,2020-04-07,950.126159751165,30338.096757205898,33290.94736451172,950.126159751165,950.126159751165,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,31835.44426245005
77,2020-04-08,968.3581604617094,31063.39142413567,33996.01088430153,968.3581604617094,968.3581604617094,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,32446.335601938586
78,2020-04-09,941.7299884028731,30137.12401819644,33015.07518983545,941.7299884028731,941.7299884028731,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,31554.11757521672
79,2020-04-10,915.1018163440363,29255.303533210397,32106.08453934462,915.1018163440363,915.1018163440363,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,30661.89954849483
80,2020-04-11,888.4736442851998,28337.772214020515,31110.673667533578,888.4736442851998,888.4736442851998,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,29769.681521772953
81,2020-04-12,880.7224517978782,28077.800407100847,30898.64478874382,880.7224517978782,880.7224517978782,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,29509.965847317388
82,2020-04-13,872.9712593105563,27742.73335532229,30614.5980887392,872.9712593105563,872.9712593105563,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,29250.250172861815
83,2020-04-14,865.2200668232346,27507.60563329054,30338.481515047104,865.2200668232346,865.2200668232346,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,28990.534498406247
84,2020-04-15,857.4688743359128,27364.1381061814,30129.894376146913,857.4688743359128,857.4688743359128,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,28730.818823950678
85,2020-04-16,849.717681848591,27065.48619410486,29875.691370402135,849.717681848591,849.717681848591,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,28471.10314949511
86,2020-04-17,841.9664893612694,26730.990310373527,29600.62372397612,841.3343104334776,842.9895459967412,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,28211.387475039544
87,2020-04-18,834.2152968739476,26490.150047824605,29540.640977930678,823.6534565818594,845.243791161436,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,27951.671800583976
88,2020-04-19,826.4641043866258,25937.72838738839,29546.838588903895,798.8212681399214,848.8695482526763,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,27691.956126128403
89,2020-04-20,818.712911899304,25428.152103472574,29386.603543297148,775.0283649182026,858.1025852235122,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,27432.240451672835
90,2020-04-21,810.9617194119822,24696.621710589767,29581.98270188178,746.5935191909746,868.2459880729189,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,27172.524777217266
91,2020-04-22,803.2105269246606,23858.142650284884,30009.21440399798,718.6592506431256,889.1989505581521,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,26912.8091027617
92,2020-04-23,795.4593344373388,22683.691644184193,30347.54269150729,686.559321479354,907.0814086710566,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,26653.093428306132
93,2020-04-24,787.708141950017,21741.977329399957,31353.82703365014,654.8575414708599,925.0216832812795,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,26393.377753850556
94,2020-04-25,779.9569494626953,20490.61270220596,31956.551517159318,615.7320357037653,948.2942508225368,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,26133.66207939499
95,2020-04-26,772.2057569753736,18931.386211518748,32440.369145465083,573.6776006279457,968.8752137584631,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,25873.946404939423
96,2020-04-27,764.4545644880518,17961.22235964527,33712.83597125892,531.5646801702567,993.2665626766544,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,25614.230730483854
97,2020-04-28,756.7033720007302,16441.720467963853,34125.236924872144,493.094732084537,1020.8108926766707,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,25354.51505602829
98,2020-04-29,748.9521795134084,14965.304255779254,35338.31561897518,451.5419018848373,1046.4591534510535,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,25094.79938157272
99,2020-04-30,741.2009870260865,13189.932686457612,36015.75241207662,406.5053371527789,1074.2688509717375,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,24835.083707117148
100,2020-05-01,733.4497945387648,12170.823687019762,37128.71409953292,367.71332275828496,1102.340705129754,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,24575.36803266158
101,2020-05-02,725.6986020514431,10977.022531709546,37973.915034636375,324.6875278059026,1126.4756754776686,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,24315.652358206014
102,2020-05-03,717.9474095641214,8946.788270775554,39258.08095694493,274.2654960880682,1173.011183504738,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,24055.936683750446
103,2020-05-04,710.1962170767996,7475.472808450041,40041.705740865786,231.01689208983532,1201.5213820230204,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,23796.221009294877
104,2020-05-05,702.4450245894778,6356.8073964968,41475.37142285118,183.06632319956435,1238.5235613373889,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,23536.50533483931
105,2020-05-06,694.693832102156,4406.4366048195525,42627.49732068829,145.65497418677535,1270.9628926753637,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,23276.789660383733
106,2020-05-07,686.9426396148343,3391.7643830589036,43725.62775774405,77.10678798923678,1300.0294744710682,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,23017.073985928168
107,2020-05-08,679.1914471275127,1819.8265991404387,44584.22508989345,38.69247475218848,1324.3999284571987,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,22757.358311472603
108,2020-05-09,671.4402546401908,-651.3710427809204,46033.25285334372,-18.43451093147572,1361.0903236833321,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,22497.64263701703
109,2020-05-10,663.689062152869,-2516.4413422788466,47255.91112118015,-71.60581704859982,1402.5403873254104,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,22237.92696256146
110,2020-05-11,655.9378696655473,-3888.9316092844556,48642.89408316392,-123.32319722647232,1448.5063420370543,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,21978.211288105893
111,2020-05-12,648.1866771782255,-6574.729061560347,50548.65977794371,-185.663303189743,1498.4766675323824,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,21718.495613650324
112,2020-05-13,640.4354846909039,-8481.885206312314,52095.35586852602,-248.33576981560321,1544.2626609800227,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,21458.77993919476
113,2020-05-14,632.6842922035821,-10648.884657528626,53792.40249390147,-317.61550311541487,1594.6508758727186,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,21199.06426473919
114,2020-05-15,624.9330997162604,-12182.948273996986,55600.918599425226,-382.59573176152173,1653.5574646326784,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,20939.348590283622
115,2020-05-16,617.1819072289386,-14829.925240134553,56953.975179215064,-451.96239979534215,1713.7925685905343,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,20679.632915828053
116,2020-05-17,609.4307147416167,-16844.136283816326,58835.13588895143,-505.4641239492258,1765.825877998543,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,20419.91724137248
117,2020-05-18,601.6795222542951,-19271.34416486619,60494.4843680052,-573.5669868697321,1804.010034923502,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,20160.201566916916
118,2020-05-19,593.9283297669734,-20500.18715573835,62003.65870379686,-639.5500951705015,1860.1572560221257,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,19900.48589246135
119,2020-05-20,586.1771372796516,-23400.457684739144,63904.507362253404,-695.4805745782858,1903.528788447493,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,19640.770218005775
120,2020-05-21,578.4259447923298,-24931.226227762447,65617.93215486388,-741.6854789450798,1965.7653463356808,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,19381.054543550206
121,2020-05-22,570.674752305008,-27235.40378666836,67560.54642824167,-802.9453876979806,2017.4403117218237,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,19121.338869094638
122,2020-05-23,562.9235598176863,-29803.79813683351,69111.62484308593,-872.6196964936081,2061.9408547489834,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,18861.62319463907
123,2020-05-24,555.1723673303646,-32028.56256394996,69935.50196950154,-947.8370166434269,2110.1904433489085,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,18601.907520183504
124,2020-05-25,547.4211748430429,-35173.10807412422,72393.26941219466,-1036.834089337302,2160.636690999729,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,18342.191845727935
125,2020-05-26,539.669982355721,-36225.117854306416,73395.15843656415,-1095.7509978482676,2191.536372804725,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,18082.476171272363
